frame_id,point_id,x,y,z,doppler,snr,noise
72,4,-1.1698,7.789,-0.234,0,218,821,3331
72,5,-4.1891,7.7593,0,0,175,835,3331
72,6,-0.1337,2.2434,-0.1337,-1.4275,217,578,3331
73,1,0.1253,1.3859,-0.2089,0,299,755,3364
73,2,0.7799,3.1352,-0.5849,0,168,886,3364
73,3,-4.4453,5.7515,-3.0415,0,216,823,3364
73,4,-1.1698,7.789,-0.234,0,216,823,3364
73,5,-3.9272,7.895,0,0,175,834,3364
73,6,0.1337,2.2224,-0.3342,-1.4275,288,583,3364
74,1,0.1253,1.3859,-0.2089,0,304,750,3397
74,2,-4.4453,5.7515,-3.0415,0,217,822,3397
74,3,-1.1698,7.789,-0.234,0,217,822,3397
74,4,-3.9272,7.895,0,0,178,830,3397
74,5,0.3844,2.0241,-0.6406,-1.4275,243,585,3397
75,1,0.1253,1.3859,-0.2089,0,304,750,3430
75,2,0.5849,3.2071,-0.3899,0,154,881,3430
75,3,-4.4453,5.7515,-3.0415,0,220,821,3430
75,4,-1.1698,7.789,-0.234,0,220,821,3430
75,5,-3.9272,7.895,0,0,186,825,3430
76,1,0.1253,1.3859,-0.2089,0,304,750,3463
76,2,-4.4453,5.7515,-3.0415,0,219,826,3463
76,3,-1.1698,7.789,-0.234,0,219,826,3463
76,4,-3.9272,7.895,0,0,184,826,3463
77,1,0.1253,1.3859,-0.2089,0,306,748,3496
77,2,-4.4453,5.7515,-3.0415,0,218,827,3496
77,3,-1.1698,7.789,-0.234,0,218,827,3496
77,4,-4.1891,7.7593,0,0,185,828,3496
78,1,0.1253,1.3789,-0.2507,0,303,750,3530
78,2,0.5849,3.2175,-0.2925,0,155,881,3530
78,3,-4.4453,5.7515,-3.0415,0,213,828,3530
78,4,-1.1698,7.7925,0,0,213,828,3530
78,5,-4.1891,7.7593,0,0,176,838,3530
79,1,0.1253,1.3859,-0.2089,0,305,748,3563
79,2,0.5849,3.2071,-0.3899,0,155,880,3563
79,3,-4.4453,5.7515,-3.0415,0,212,828,3563
79,4,-1.1698,7.789,-0.234,0,212,828,3563
79,5,-3.9272,7.895,0,0,184,828,3563
80,1,0.1253,1.3859,-0.2089,0,304,750,3596
80,2,-4.4453,5.7515,-3.0415,0,215,828,3596
80,3,-1.1698,7.789,-0.234,0,215,828,3596
80,4,-3.3312,7.9614,0,0,154,855,3596
80,5,-4.1891,7.7549,0.2618,0,179,829,3596
81,1,0.1253,1.3859,-0.2089,0,309,744,3630
81,2,-1.6294,5.8757,0,0,152,806,3630
81,3,-4.4453,5.7515,-3.0415,0,217,823,3630
81,4,-1.1698,7.789,-0.234,0,217,823,3630
81,5,-3.8855,7.7938,-0.5181,0,151,855,3630
82,1,0.1253,1.3859,-0.2089,0,303,750,3663
82,2,-1.6294,5.8757,0,0,157,798,3663
82,3,-4.4453,5.7515,-3.0415,0,227,815,3663
82,4,-1.1698,7.789,-0.234,0,227,815,3663
82,5,-3.8855,7.7938,-0.5181,0,167,839,3663
82,6,-3.8214,7.9031,2.7296,0,150,764,3663
83,1,0.1253,1.3859,-0.2089,0,304,750,3696
83,2,0.6824,3.1878,-0.3899,0,154,879,3696
83,3,-1.6294,5.8757,0,0,171,787,3696
83,4,-4.4453,5.7515,-3.0415,0,221,817,3696
83,5,-1.1698,7.789,-0.234,0,221,817,3696
83,6,-3.8855,7.7938,-0.5181,0,167,842,3697
84,1,0.1253,1.3789,-0.2507,0,303,750,3730
84,2,-1.6294,5.8757,0,0,175,790,3730
84,3,-4.4453,5.7515,-3.0415,0,217,819,3730
84,4,-1.1698,7.7784,-0.4679,0,217,819,3730
84,5,-4.1891,7.7593,0,0,184,822,3730
85,1,0.0836,1.389,-0.2089,0,303,751,3764
85,2,-1.4483,5.9202,-0.181,0,164,791,3764
85,3,-4.6793,5.6845,-2.8076,0,209,821,3764
85,4,-1.4038,7.7537,0,0,209,821,3764
85,5,-4.1891,7.7593,0,0,183,824,3764
85,6,-3.5484,8.1171,2.4566,0,153,762,3764
86,1,0.0836,1.389,-0.2089,0,301,752,3796
86,2,-4.4453,5.8693,-2.8076,0,220,812,3796
86,3,-1.1698,7.789,0.234,0,220,812,3796
86,4,-3.8855,7.7938,-0.5181,0,176,835,3796
86,5,-4.1891,7.7593,0,0,191,820,3796
86,6,-3.5484,8.1947,2.1837,0,158,756,3796
86,7,0.0585,1.9656,0.117,-1.4275,320,588,3796
87,1,0.1253,1.3789,-0.2507,0,304,749,3830
87,2,-1.8104,5.8197,0.181,0,152,795,3830
87,3,-4.4453,5.8693,-2.8076,0,213,819,3830
87,4,-1.1698,7.7925,0,0,213,819,3830
87,5,-4.1891,7.7593,0,0,175,834,3830
88,1,0.1253,1.3859,-0.2089,0,304,749,3864
88,2,-1.4483,5.9202,-0.181,0,174,783,3864
88,3,-4.4453,5.7515,-3.0415,0,216,820,3864
88,4,-1.1698,7.789,-0.234,0,216,820,3864
88,5,-3.8855,7.7938,-0.5181,0,163,846,3864
89,1,0.1253,1.3859,-0.2089,0,302,751,3897
89,2,-0.9052,5.9863,-0.7242,0,157,786,3897
89,3,-4.4453,5.6215,-3.2755,0,220,825,3897
89,4,-1.1698,7.7784,-0.4679,0,220,825,3897
89,5,-3.3312,7.9614,0,0,150,857,3897
89,6,-4.1891,7.7593,0,0,178,832,3897
90,1,0.1253,1.3859,-0.2089,0,303,751,3930
90,2,-1.0863,5.9753,-0.5431,0,151,786,3930
90,3,-4.4453,5.7515,-3.0415,0,208,825,3930
90,4,-1.1698,7.7784,-0.4679,0,208,825,3930
90,5,-4.1891,7.7593,0,0,175,836,3930
91,1,0.1253,1.3859,-0.2089,0,304,750,3963
91,2,-4.6793,5.6845,-2.8076,0,209,822,3963
